# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2024 по 31.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"24.08.2024 01:20";"15.0";"745.3";"762.0";"88";"Ветер, дующий с запада";"3";"";"Частичный (охватывающий часть аэродрома) туман";"";"Нет существенной облачности";"4.3";"13.0";
"24.08.2024 01:07";"15.0";"745.3";"762.0";"88";"Ветер, дующий с запада";"3";"";"Частичный (охватывающий часть аэродрома) туман";"";"Нет существенной облачности";"2.7";"13.0";
"24.08.2024 01:05";"15.0";"745.3";"762.0";"88";"Ветер, дующий с запада";"3";"";"Частичный (охватывающий часть аэродрома) туман";"";"Нет существенной облачности";"4.8";"13.0";
"24.08.2024 01:00";"15.0";"745.3";"762.0";"88";"Ветер, дующий с запада";"3";"";"Частичный (охватывающий часть аэродрома) туман";"";"Нет существенной облачности";"8.0";"13.0";
"24.08.2024 00:30";"15.0";"745.3";"762.0";"94";"Ветер, дующий с западо-северо-запада";"3";"";"Дымка";"";"Нет существенной облачности";"10.0 и более";"14.0";
"24.08.2024 00:00";"15.0";"745.3";"762.0";"94";"Ветер, дующий с западо-северо-запада";"3";"";"Дымка";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 23:30";"15.0";"745.3";"762.0";"94";"Ветер, дующий с западо-северо-запада";"3";"";"Дымка";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 23:00";"15.0";"745.3";"762.0";"94";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 22:30";"15.0";"745.3";"762.0";"94";"Ветер, дующий с западо-северо-запада";"3";"8";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 22:00";"16.0";"744.6";"761.2";"88";"Ветер, дующий с западо-северо-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 1440 м, кучево-дождевые облака";"10.0 и более";"14.0";
"23.08.2024 21:30";"16.0";"744.6";"761.2";"88";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"14.0";
"23.08.2024 21:00";"16.0";"744.6";"761.2";"88";"Ветер, дующий с северо-запада";"3";"8";"";"";"Разорванная (60-90%) 1110 м";"10.0 и более";"14.0";
"23.08.2024 20:30";"16.0";"744.6";"761.2";"88";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"14.0";
"23.08.2024 20:00";"16.0";"744.6";"761.2";"94";"Ветер, дующий с северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 180 м, разорванная (60-90%) 930 м, кучево-дождевые облака";"10.0 и более";"15.0";
"23.08.2024 19:30";"16.0";"744.6";"761.2";"94";"Ветер, дующий с северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 120 м, разорванная (60-90%) 720 м, кучево-дождевые облака";"9.0";"15.0";
"23.08.2024 19:00";"17.0";"744.6";"761.2";"88";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 300 м, разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"15.0";
"23.08.2024 18:30";"17.0";"743.9";"760.5";"94";"Ветер, дующий с запада";"4";"9";"";"";"Рассеянная (40-50%) 150 м, разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"16.0";
"23.08.2024 18:00";"18.0";"744.0";"760.5";"94";"Ветер, дующий с западо-северо-запада";"5";"13";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 150 м, разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"17.0";
"23.08.2024 17:30";"18.0";"744.0";"760.5";"94";"Ветер, дующий с западо-северо-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"Гроза";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"17.0";
"23.08.2024 17:15";"18.0";"743.2";"759.7";"94";"Ветер, дующий с востоко-северо-востока";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Незначительная (10-30%) 180 м, разорванная (60-90%) 1500 м, кучево-дождевые облака";"9.0";"17.0";
"23.08.2024 17:13";"18.0";"744.0";"760.5";"94";"Ветер, дующий с севера";"4";"9";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Незначительная (10-30%) 180 м, разорванная (60-90%) 1500 м, кучево-дождевые облака";"8.0";"17.0";
"23.08.2024 17:03";"18.0";"744.0";"760.5";"94";"Ветер, дующий с северо-северо-запада";"3";"8";"Гроза, дождь";"";"Рассеянная (40-50%) 1080 м, кучево-дождевые облака";"5.0";"17.0";
"23.08.2024 17:00";"18.0";"744.0";"760.5";"94";"Ветер, дующий с севера";"3";"8";"Слабый(ая)(ые) гроза, дождь";"";"Незначительная (10-30%) 210 м, разорванная (60-90%) 1500 м, кучево-дождевые облака";"6.0";"17.0";
"23.08.2024 16:57";"18.0";"744.0";"760.5";"94";"Ветер, дующий с севера";"3";"8";"Слабый(ая)(ые) гроза, дождь";"";"Незначительная (10-30%) 210 м, разорванная (60-90%) 1200 м, кучево-дождевые облака";"7.0";"17.0";
"23.08.2024 16:30";"19.0";"744.1";"760.5";"88";"Ветер, дующий с западо-северо-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 1350 м, кучево-дождевые облака";"10.0 и более";"17.0";
"23.08.2024 16:00";"20.0";"743.3";"759.7";"83";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 480 м, кучево-дождевые облака";"8.0";"17.0";
"23.08.2024 15:30";"22.0";"743.4";"759.7";"69";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1170 м, кучево-дождевые облака";"10.0 и более";"16.0";
"23.08.2024 15:00";"24.0";"743.5";"759.7";"61";"Ветер, дующий с северо-запада";"5";"";"";"";"Рассеянная (40-50%) 1140 м, кучево-дождевые облака";"10.0 и более";"16.0";
"23.08.2024 14:49";"24.0";"743.5";"759.7";"61";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Рассеянная (40-50%) 1200 м, кучево-дождевые облака";"10.0 и более";"16.0";
"23.08.2024 14:30";"24.0";"743.5";"759.7";"57";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Незначительная (10-30%) 1830 м, кучево-дождевые облака";"10.0 и более";"15.0";
"23.08.2024 14:00";"24.0";"743.5";"759.7";"61";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"23.08.2024 13:30";"24.0";"743.5";"759.7";"57";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"23.08.2024 13:00";"24.0";"743.5";"759.7";"61";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"23.08.2024 12:30";"23.0";"743.5";"759.7";"61";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"23.08.2024 12:00";"23.0";"743.5";"759.7";"61";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"23.08.2024 11:30";"22.0";"743.4";"759.7";"65";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"23.08.2024 11:00";"22.0";"743.4";"759.7";"69";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"23.08.2024 10:30";"20.0";"743.3";"759.7";"73";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"23.08.2024 10:00";"19.0";"743.3";"759.7";"73";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 09:30";"18.0";"743.2";"759.7";"78";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"23.08.2024 09:00";"17.0";"743.2";"759.7";"77";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"23.08.2024 08:30";"17.0";"742.5";"759.0";"73";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"23.08.2024 08:00";"17.0";"743.2";"759.7";"73";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"23.08.2024 07:30";"17.0";"743.2";"759.7";"68";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 07:00";"16.0";"743.1";"759.7";"77";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"23.08.2024 06:30";"15.0";"742.4";"759.0";"82";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"23.08.2024 06:00";"14.0";"742.3";"759.0";"82";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 05:30";"14.0";"743.0";"759.7";"82";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 05:00";"15.0";"743.0";"759.7";"77";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 04:30";"15.0";"743.0";"759.7";"77";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 04:00";"16.0";"743.1";"759.7";"72";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Незначительная (10-30%) 1500 м, кучево-дождевые облака";"10.0 и более";"11.0";
"23.08.2024 03:30";"16.0";"742.4";"759.0";"72";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 03:00";"16.0";"743.1";"759.7";"72";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 02:30";"16.0";"743.1";"759.7";"72";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 02:00";"17.0";"743.2";"759.7";"68";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 01:30";"16.0";"743.1";"759.7";"72";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 01:00";"17.0";"743.2";"759.7";"68";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 00:30";"18.0";"743.2";"759.7";"64";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"23.08.2024 00:00";"18.0";"743.2";"759.7";"64";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 23:30";"18.0";"743.2";"759.7";"68";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 23:00";"19.0";"743.3";"759.7";"64";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 22:30";"19.0";"743.3";"759.7";"64";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 22:00";"19.0";"743.3";"759.7";"64";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 21:30";"21.0";"743.4";"759.7";"53";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 21:00";"20.0";"743.3";"759.7";"60";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 20:30";"21.0";"743.4";"759.7";"57";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 20:00";"21.0";"743.4";"759.7";"57";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 19:30";"22.0";"743.4";"759.7";"57";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 19:00";"23.0";"743.5";"759.7";"53";"Ветер, дующий с юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 18:30";"24.0";"743.5";"759.7";"50";"Ветер, дующий с востоко-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 18:00";"24.0";"743.5";"759.7";"50";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 17:30";"25.0";"743.6";"759.7";"47";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 17:00";"25.0";"743.6";"759.7";"44";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 16:30";"25.0";"743.6";"759.7";"44";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 16:00";"25.0";"744.4";"760.5";"47";"Ветер, дующий с востоко-юго-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 15:30";"24.0";"744.3";"760.5";"50";"Ветер, дующий с востоко-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 15:00";"24.0";"744.3";"760.5";"47";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 14:30";"23.0";"744.3";"760.5";"53";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"22.08.2024 14:00";"23.0";"744.3";"760.5";"50";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 13:30";"22.0";"744.9";"761.2";"50";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 13:00";"22.0";"744.9";"761.2";"50";"Ветер, дующий с востоко-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 12:30";"22.0";"744.9";"761.2";"50";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 12:00";"22.0";"744.9";"761.2";"50";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 11:54";"23.0";"745.0";"761.2";"50";"Ветер, дующий с востоко-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 11:30";"21.0";"744.8";"761.2";"53";"Ветер, дующий с юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 11:18";"22.0";"744.9";"761.2";"53";"Ветер, дующий с востоко-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 11:00";"20.0";"744.8";"761.2";"56";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 10:30";"20.0";"744.8";"761.2";"56";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"22.08.2024 10:00";"19.0";"744.7";"761.2";"64";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"12.0";
"22.08.2024 09:30";"19.0";"744.7";"761.2";"60";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"11.0";
"22.08.2024 09:00";"18.0";"744.7";"761.2";"68";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 08:30";"17.0";"744.6";"761.2";"73";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"22.08.2024 08:00";"16.0";"744.6";"761.2";"72";"Ветер, дующий с востока";"4";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"11.0";
"22.08.2024 07:30";"15.0";"744.5";"761.2";"82";"Ветер, дующий с востока";"4";"";"";"";"Рассеянная (40-50%) 1350 м";"10.0 и более";"12.0";
"22.08.2024 07:00";"14.0";"745.2";"762.0";"82";"Ветер, дующий с востока";"3";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"11.0";
"22.08.2024 06:30";"13.0";"745.2";"762.0";"88";"Ветер, дующий с востока";"3";"";"";"";"Незначительная (10-30%) 1350 м";"10.0 и более";"11.0";
"22.08.2024 06:00";"13.0";"744.4";"761.2";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 05:30";"13.0";"744.4";"761.2";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 05:00";"12.0";"744.3";"761.2";"88";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 04:30";"13.0";"744.4";"761.2";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 04:00";"12.0";"745.1";"762.0";"88";"Ветер, дующий с востока";"5";"";"";"";"Незначительная (10-30%) 1410 м";"10.0 и более";"10.0";
"22.08.2024 03:30";"12.0";"745.1";"762.0";"88";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"10.0";
"22.08.2024 03:00";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"10.0";
"22.08.2024 02:30";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востока";"5";"";"";"";"Незначительная (10-30%) 1290 м";"10.0 и более";"10.0";
"22.08.2024 02:00";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Незначительная (10-30%) 1290 м";"10.0 и более";"10.0";
"22.08.2024 01:30";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 01:00";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 00:30";"12.0";"745.1";"762.0";"88";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"22.08.2024 00:00";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 23:30";"13.0";"745.2";"762.0";"88";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 23:00";"13.0";"745.2";"762.0";"82";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 22:30";"14.0";"745.2";"762.0";"77";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 22:00";"14.0";"744.5";"761.2";"77";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 21:30";"15.0";"744.5";"761.2";"72";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 21:00";"16.0";"745.4";"762.0";"68";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 20:30";"17.0";"745.4";"762.0";"64";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 20:00";"18.0";"745.5";"762.0";"60";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 19:30";"20.0";"745.6";"762.0";"49";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 19:00";"21.0";"745.6";"762.0";"46";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 18:30";"22.0";"745.7";"762.0";"41";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"21.08.2024 18:00";"23.0";"745.7";"762.0";"36";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"21.08.2024 17:30";"23.0";"745.7";"762.0";"36";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"21.08.2024 17:00";"23.0";"745.7";"762.0";"41";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 16:30";"23.0";"745.7";"762.0";"41";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 16:00";"23.0";"746.5";"762.8";"38";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"21.08.2024 15:30";"23.0";"746.5";"762.8";"38";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"21.08.2024 15:00";"23.0";"746.5";"762.8";"41";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 14:30";"23.0";"746.5";"762.8";"41";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 14:00";"23.0";"746.5";"762.8";"41";"Ветер, дующий с северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 13:30";"22.0";"747.2";"763.5";"44";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 13:00";"22.0";"747.2";"763.5";"47";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 12:30";"22.0";"747.2";"763.5";"47";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 12:00";"21.0";"747.1";"763.5";"46";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 11:30";"21.0";"747.1";"763.5";"46";"Ветер, дующий с северо-востока";"5";"10";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"21.08.2024 11:00";"21.0";"747.1";"763.5";"50";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 10:30";"20.0";"747.0";"763.5";"56";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 10:00";"20.0";"747.0";"763.5";"60";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 09:30";"19.0";"747.0";"763.5";"60";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 09:00";"18.0";"746.9";"763.5";"64";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 08:30";"17.0";"746.9";"763.5";"73";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 08:00";"16.0";"746.8";"763.5";"77";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 07:30";"15.0";"746.8";"763.5";"82";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 07:00";"15.0";"746.8";"763.5";"77";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 06:30";"14.0";"746.7";"763.5";"82";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 06:00";"13.0";"746.6";"763.5";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 05:30";"12.0";"746.6";"763.5";"88";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"21.08.2024 05:00";"13.0";"746.6";"763.5";"88";"Ветер, дующий с севера";"2";"";"Дымка";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 04:30";"13.0";"746.6";"763.5";"88";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 04:00";"14.0";"746.7";"763.5";"82";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 03:30";"14.0";"746.7";"763.5";"82";"Ветер, дующий с севера";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"21.08.2024 03:00";"14.0";"746.7";"763.5";"88";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 02:30";"14.0";"746.7";"763.5";"88";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 02:18";"15.0";"746.8";"763.5";"88";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"21.08.2024 02:00";"13.0";"746.6";"763.5";"94";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"21.08.2024 01:30";"15.0";"746.8";"763.5";"88";"Ветер, дующий с востоко-северо-востока";"2";"8";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"21.08.2024 01:00";"17.0";"746.9";"763.5";"77";"Ветер, дующий с северо-северо-востока";"4";"10";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"21.08.2024 00:30";"17.0";"746.2";"762.8";"83";"Ветер, дующий с севера";"4";"9";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"21.08.2024 00:04";"18.0";"746.2";"762.8";"78";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
